"accgrpid","userid1","branchname","uwritrname"
297,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
298,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
299,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
300,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
301,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
302,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
303,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
304,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
305,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
306,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
307,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
308,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
309,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
310,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
311,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
312,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
313,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
314,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
315,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
316,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
317,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
318,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
319,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
320,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
321,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
322,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
323,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
324,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
325,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
326,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
327,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
328,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
329,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
