cntrycode,bscr_entity,region,sum_pml,sum_net,count_policies,is_geocoded
SG,33,ALL,21556194.915717743,10975771.473728545,7,0
SK,33,ALL,4200.0,4200.0,1,0
SN,33,ALL,683280.0,341640.0,1,0
TH,33,ALL,131620.51174055,65810.255870275,1,0
TR,33,ALL,6637471.607575321,3318735.8037876603,1,0
TW,33,ALL,2572431.978519528,1341404.135140418,2,0
US,33,ALL,2365811502.9090543,1413295965.355323,326,0
UY,33,ALL,26957835.557093173,17031956.708133373,4,0
VN,33,ALL,11322.0,11322.0,1,0
ZA,33,ALL,93771188.57508783,90543098.61781561,11,0
AE,33,ALL,88675015.9611523,53579580.425126605,13,1
AR,33,ALL,43058200.41667289,43058200.41667289,18,1
AT,33,ALL,117299776.07014093,59699152.01479954,12,1
AU,33,ALL,334471885.17615,170352245.8216404,28,1
BE,33,ALL,280411812.0868323,203677116.44909048,57,1
BM,33,ALL,7305574.822161886,7305574.822161886,5,1
BR,33,ALL,129080595.60927524,93901441.28986606,11,1
BS,33,ALL,10107545.451947235,8522400.142902274,7,1
CA,33,ALL,210957528.07712308,106631319.72413285,18,1
CH,33,ALL,3452284902.26419,2433750640.4874005,827,1
CI,33,ALL,2841840.0,1420920.0,1,1
CL,33,ALL,104253862.22035946,79488495.52186815,40,1
CN,33,ALL,106172177.81325063,44299276.505305015,14,1
CO,33,ALL,151583328.4396453,92511615.64190476,28,1
CR,33,ALL,1932798.116698511,1932798.116698511,2,1
CY,33,ALL,41104787.13281488,39213212.34980069,6,1
CZ,33,ALL,17725731.435104,17725731.435104,4,1
DE,33,ALL,183792082.0820087,115503381.26928669,33,1
DK,33,ALL,618592460.8098859,568389716.2126927,154,1
DO,33,ALL,23167430.6926036,23167430.6926036,10,1
EC,33,ALL,6112118.112486638,6112118.112486638,3,1
ES,33,ALL,614384058.0465851,420289442.80860513,81,1
FI,33,ALL,178626629.44654274,141265503.43659675,32,1
FR,33,ALL,2275085169.2213316,1498937035.1383283,333,1
GB,33,ALL,9371114846.996006,7182976179.930439,1683,1
GG,33,ALL,5437249.791934295,5174549.895967147,2,1
GH,33,ALL,911500.0,911500.0,2,1
GI,33,ALL,3760926.73626258,3760926.73626258,1,1
GR,33,ALL,281652901.3418503,209271148.1360032,43,1
GT,33,ALL,13445853.44244048,13445853.44244048,10,1
HK,33,ALL,103903349.83716828,83998644.91579309,31,1
HN,33,ALL,2133373.76619045,2133373.76619045,1,1
HU,33,ALL,4368800.0,4368800.0,1,1
ID,33,ALL,6355328.238240639,3497181.397450843,3,1
IE,33,ALL,310615190.88789994,210109419.3603245,60,1
IL,33,ALL,118255692.51285431,88344175.71247579,38,1
IM,33,ALL,712941.0,712941.0,1,1
IN,33,ALL,15613768.340378208,7862072.316069758,2,1
IS,33,ALL,5543424.18798417,5543424.18798417,4,1
IT,33,ALL,1171699364.2789078,824655516.0782858,206,1
JO,33,ALL,5001.0,5001.0,1,1
JP,33,ALL,83586974.90070543,47547710.997818835,10,1
KE,33,ALL,507679.116713549,253839.5583567745,1,1
KR,33,ALL,146853.9764436889,128615.13410249846,2,1
KY,33,ALL,3716311.9180493057,3614964.124009083,2,1
LB,33,ALL,25253041.312895793,21559536.59712089,9,1
LI,33,ALL,11747642.031837123,11747642.031837123,4,1
