"cntrycode","bscr_entity","region","sum_pml","sum_net","count_policies","is_geocoded","peril_id"
HK,"33",is_non_us,16827200.250322174,16736239.938533973,11,0,1
ID,"33",is_non_us,0.0,0.0,1,0,1
IE,"33",is_non_us,16581742.491600003,16367413.116600003,11,0,1
IL,"33",is_non_us,9189487.720355293,9117495.493071496,7,0,1
IN,"33",is_non_us,21078587.25951058,10613797.626694173,2,0,1
KR,"33",is_non_us,49244.87432121422,24622.43716060711,1,0,1
KW,"33",is_non_us,174598.97110365692,174598.97110365692,1,0,1
KY,"33",is_non_us,273639.04390860215,136819.52195430108,1,0,1
LB,"33",is_non_us,40257079.14412824,38912554.21616226,7,0,1
LT,"33",is_non_us,5333505.48,5333505.48,2,0,1
MA,"33",is_non_us,216000.0,216000.0,1,0,1
MC,"33",is_non_us,25477438.61953574,20520481.249377515,10,0,1
MT,"33",is_non_us,2700.0,2700.0,1,0,1
MX,"33",is_non_us,5570458.340227749,5570458.340227749,1,0,1
NG,"33",is_non_us,2030716.4668542002,1015358.2334271001,1,0,1
NL,"33",is_non_us,23315804.834400002,23315804.834400002,3,0,1
NZ,"33",is_non_us,1698544.4738940117,1698544.4738940117,3,0,1
OM,"33",is_non_us,3375.0,3375.0,1,0,1
PA,"33",is_non_us,227153.57481309873,227153.57481309873,1,0,1
PH,"33",is_non_us,228455.60252109752,114227.80126054876,1,0,1
PL,"33",is_non_us,17153.100000000002,17153.100000000002,1,0,1
PT,"33",is_non_us,8872462.874094082,8872462.874094082,2,0,1
PY,"33",is_non_us,8668884.911024543,8668884.911024543,1,0,1
RO,"33",is_non_us,5400.0,5400.0,1,0,1
SA,"33",is_non_us,2756717.4032401154,1378358.7016200577,1,0,1
SC,"33",is_non_us,5473737.853307061,3472470.5828156243,3,0,1
SE,"33",is_non_us,144017548.04316634,86223843.48932883,5,0,1
SN,"33",is_non_us,922428.0000000001,461214.00000000006,1,0,1
TH,"33",is_non_us,177687.6908497425,88843.84542487125,1,0,1
TW,"33",is_non_us,149007.9938777658,149007.9938777658,1,0,1
UY,"33",is_non_us,35244002.16609751,21844065.72000178,4,0,1
VN,"33",is_non_us,15284.7,15284.7,1,0,1
ZA,"33",is_non_us,118098327.55945735,115366083.50059547,11,0,1
AE,"33",is_non_us,119528184.9329856,72149346.9593509,13,1,1
AR,"33",is_non_us,58128570.56250841,58128570.56250841,18,1,1
AT,"33",is_non_us,157524233.21209025,80090025.05667882,10,1,1
AU,"33",is_non_us,433656591.6945225,212095078.56593448,26,1,1
BE,"33",is_non_us,378555946.31722355,274964107.2062721,57,1,1
BM,"33",is_non_us,9713518.016040782,9713518.016040782,4,1,1
BR,"33",is_non_us,118278246.30239862,80559210.96793208,11,1,1
BS,"33",is_non_us,13645186.360128768,11505240.192918073,7,1,1
CA,"33",is_non_us,284792662.90411615,143952281.62757933,18,1,1
CH,"33",is_non_us,4234644327.361802,3056635826.0444703,827,1,1
CI,"33",is_non_us,3836484.0000000005,1918242.0000000002,1,1,1
CL,"33",is_non_us,138514812.06552213,105081567.02255888,40,1,1
CN,"33",is_non_us,139189729.09518543,55661312.329458855,12,1,1
CO,"33",is_non_us,201729846.0572515,121983033.78030173,28,1,1
CR,"33",is_non_us,2609277.45754299,2609277.45754299,2,1,1
CY,"33",is_non_us,53934912.62930009,51381286.67223094,6,1,1
CZ,"33",is_non_us,768960.0,768960.0,3,1,1
DE,"33",is_non_us,248119310.81071183,155929564.7135371,33,1,1
DK,"33",is_non_us,835099822.0933453,767326116.8871348,154,1,1
DO,"33",is_non_us,30912423.30537994,30912423.30537994,10,1,1
EC,"33",is_non_us,8251359.451856963,8251359.451856963,3,1,1
ES,"33",is_non_us,773010590.1138928,535331472.8571182,79,1,1
FI,"33",is_non_us,241145949.75283274,190708429.63940564,32,1,1
FR,"33",is_non_us,3056498861.781182,2015996939.1029353,332,1,1
GB,"33",is_non_us,12651005043.444614,9697017842.906088,1683,1,1
GG,"33",is_non_us,7340287.219111298,6985642.35955565,2,1,1
GH,"33",is_non_us,1230525.0,1230525.0,2,1,1
GI,"33",is_non_us,5077251.093954483,5077251.093954483,1,1,1
GR,"33",is_non_us,315894475.9860365,226065406.6812825,41,1,1
GT,"33",is_non_us,17594216.789888553,17594216.789888553,10,1,1
HK,"33",is_non_us,132239402.41568555,105459011.08361721,31,1,1
HN,"33",is_non_us,2880054.584357108,2880054.584357108,1,1,1
HU,"33",is_non_us,5897880.0,5897880.0,1,1,1
ID,"33",is_non_us,8579693.121624863,4721194.886558638,2,1,1
IE,"33",is_non_us,416615175.74866486,281146713.5614381,60,1,1
IL,"33",is_non_us,151866580.56976274,111558025.11653556,38,1,1
IM,"33",is_non_us,962470.3500000001,962470.3500000001,1,1,1
IN,"33",is_non_us,149007.9938777658,149007.9938777658,1,1,1
IS,"33",is_non_us,7483622.65377863,7483622.65377863,4,1,1
IT,"33",is_non_us,1581794141.776526,1113284946.705686,206,1,1
JO,"33",is_non_us,6751.35,6751.35,1,1,1
JP,"33",is_non_us,112842416.11595233,64189409.847055435,10,1,1
KE,"33",is_non_us,685366.8075632912,342683.4037816456,1,1,1
KR,"33",is_non_us,149007.9938777658,149007.9938777658,1,1,1
KY,"33",is_non_us,4743382.045457961,4743382.045457961,1,1,1
LB,"33",is_non_us,31345206.452736948,27703500.014406793,9,1,1
LI,"33",is_non_us,15859316.742980117,15859316.742980117,4,1,1
LT,"33",is_non_us,4910139.0,4910139.0,4,1,1
LU,"33",is_non_us,20823764.637749515,20823764.637749515,4,1,1
MA,"33",is_non_us,642668.5874486682,642668.5874486682,1,1,1
MC,"33",is_non_us,440906630.1564292,261356690.83864298,41,1,1
MT,"33",is_non_us,1616322.6,1616322.6,1,1,1
MX,"33",is_non_us,25059321.210789915,25059321.210789915,13,1,1
MY,"33",is_non_us,4972716.948209203,2486358.4741046014,1,1,1
NG,"33",is_non_us,51300.0,51300.0,1,1,1
NL,"33",is_non_us,68411727.20472538,58122736.082751885,22,1,1
NO,"33",is_non_us,217580244.58962148,126402410.69977267,17,1,1
NZ,"33",is_non_us,12706353.065473009,12706353.065473009,11,1,1
PA,"33",is_non_us,10594579.558958478,10594579.558958478,7,1,1
PE,"33",is_non_us,199048586.68762654,154564225.01828945,40,1,1
PL,"33",is_non_us,15955786.786863977,15955786.786863977,6,1,1
PR,"33",is_non_us,7871182.158275532,7871182.158275532,2,1,1
PT,"33",is_non_us,149281147.6706434,59902666.95034637,12,1,1
QA,"33",is_non_us,525886.0545820856,524375.4345173847,2,1,1
SA,"33",is_non_us,17479281.41593587,8753140.707967935,2,1,1
SE,"33",is_non_us,3523062568.1485705,3224740725.7053022,462,1,1
SG,"33",is_non_us,101709192.04797299,57842983.693192355,15,1,1
SK,"33",is_non_us,9525457.34826036,9525457.34826036,2,1,1
SV,"33",is_non_us,3910137.7134132623,3910137.7134132623,4,1,1
TR,"33",is_non_us,15240463.44218325,10760170.10706991,3,1,1
TW,"33",is_non_us,3339168.2767235977,1677280.6881617988,2,1,1
UY,"33",is_non_us,1779850.8927631278,1779850.8927631278,3,1,1
VC,"33",is_non_us,2430000.0,2430000.0,1,1,1
ZA,"33",is_non_us,150565819.699491,133209523.230385,25,1,1
AE,"3624",is_non_us,48600.0,48600.0,1,0,1
CO,"3624",is_non_us,249750.00000000003,249750.00000000003,1,0,1
AU,"3624",is_non_us,145800.0,145800.0,1,1,1
CA,"3624",is_non_us,148500.0,148500.0,1,1,1
CH,"3624",is_non_us,14842975.680000002,14842975.680000002,10,1,1
GB,"3624",is_non_us,7530300.000000001,7530300.000000001,5,1,1
IN,"3624",is_non_us,10800.0,10800.0,1,1,1
MX,"3624",is_non_us,270000.0,270000.0,1,1,1
SG,"3624",is_non_us,286200.0,286200.0,2,1,1
ZA,"3624",is_non_us,702000.0,702000.0,1,1,1
AE,HIC,is_non_us,74325.6,74325.6,1,0,1
GB,HIC,is_non_us,8375254.2,8375254.2,14,0,1
GI,HIC,is_non_us,1774653.3,1774653.3,3,0,1
JE,HIC,is_non_us,2900384.8200000003,2900384.8200000003,6,0,1
PK,HIC,is_non_us,22967.820000000003,22967.820000000003,1,0,1
AU,HIC,is_non_us,203850.0,203850.0,3,1,1
CA,HIC,is_non_us,286200.0,286200.0,1,1,1
CH,HIC,is_non_us,294840.0,294840.0,1,1,1
GB,HIC,is_non_us,163738225212.68652,163738225212.68652,173171,1,1
GG,HIC,is_non_us,119068292.22300003,119068292.22300003,67,1,1
GI,HIC,is_non_us,3789439.2,3789439.2,4,1,1
HK,HIC,is_non_us,129600.00000000001,129600.00000000001,2,1,1
IM,HIC,is_non_us,268281328.59449998,268281328.59449998,184,1,1
IN,HIC,is_non_us,126900.00000000001,126900.00000000001,1,1,1
JE,HIC,is_non_us,164563378.39350006,164563378.39350006,179,1,1
JP,HIC,is_non_us,372600.0,372600.0,2,1,1
MK,HIC,is_non_us,147150.0,147150.0,1,1,1
SG,HIC,is_non_us,1285988.4000000001,1285988.4000000001,5,1,1
TH,HIC,is_non_us,27000.0,27000.0,1,1,1
TW,HIC,is_non_us,371250.0,371250.0,1,1,1
ZA,HIC,is_non_us,2802006.0,2802006.0,3,1,1
AE,HIG,is_non_us,970704.7158275546,970704.7158275546,1,0,1
BE,HIG,is_non_us,30238.42243791272,30238.42243791272,1,0,1
BR,HIG,is_non_us,805367.9357391051,457144.7374358818,2,0,1
CH,HIG,is_non_us,71066228.50825071,38370910.55070021,2,0,1
ES,HIG,is_non_us,6924829.565050622,6924829.565050622,1,0,1
FR,HIG,is_non_us,34564144.78369116,17282072.39184558,1,0,1
GB,HIG,is_non_us,16946092.818770606,8737202.876743417,5,0,1
GR,HIG,is_non_us,440880.8156598321,440880.8156598321,1,0,1
IL,HIG,is_non_us,173120.739177033,173120.739177033,1,0,1
IT,HIG,is_non_us,2084027.4573474303,2084027.4573474303,2,0,1
LB,HIG,is_non_us,1015358.2334270974,1015358.2334270974,1,0,1
MC,HIG,is_non_us,15508156.22226567,7754078.111132835,1,0,1
MX,HIG,is_non_us,529234.5424871021,529234.5424871021,3,0,1
AE,HIG,is_non_us,1062556002.1147133,1062556002.1147133,279,1,1
AR,HIG,is_non_us,297023806.16844046,189645032.61084133,43,1,1
AT,HIG,is_non_us,14816298.531940576,14816298.531940576,5,1,1
BE,HIG,is_non_us,240874332.83496338,224562076.77948344,46,1,1
BH,HIG,is_non_us,48758017.155793615,24379008.577896807,1,1,1
BL,HIG,is_non_us,86000.84237127511,86000.84237127511,1,1,1
BM,HIG,is_non_us,2503354.460130264,2503354.460130264,3,1,1
BN,HIG,is_non_us,689718.795409077,689718.795409077,1,1,1
BR,HIG,is_non_us,140763762.74107623,121643044.16829385,34,1,1
BS,HIG,is_non_us,414613.5453447705,414613.5453447705,4,1,1
CA,HIG,is_non_us,10203767.316443913,10203767.316443913,4,1,1
CH,HIG,is_non_us,803168381.2185786,605641417.5350478,128,1,1
CL,HIG,is_non_us,45554605.58973514,26818860.09115663,7,1,1
CN,HIG,is_non_us,3916986.0407045824,3916986.0407045824,10,1,1
CO,HIG,is_non_us,35952728.71132237,35952728.71132237,20,1,1
CR,HIG,is_non_us,5652499.285488652,5652499.285488652,3,1,1
CY,HIG,is_non_us,18160956.01198129,18160956.01198129,3,1,1
CZ,HIG,is_non_us,3127771.6553723738,3127771.6553723738,2,1,1
DE,HIG,is_non_us,105331364.30280091,86362741.31659472,25,1,1
DK,HIG,is_non_us,1235330.7771288685,1235330.7771288685,2,1,1
DO,HIG,is_non_us,42267857.80927065,42267857.80927065,4,1,1
EC,HIG,is_non_us,3658961.5818529166,3658961.5818529166,5,1,1
ES,HIG,is_non_us,182332952.58660036,171472810.91564038,53,1,1
FI,HIG,is_non_us,420228.3427849395,420228.3427849395,2,1,1
FR,HIG,is_non_us,1578328507.2062514,1197465775.5505998,242,1,1
GB,HIG,is_non_us,1673508321.0178616,1328303336.2904797,267,1,1
GI,HIG,is_non_us,87605600.82883313,43802800.41441657,1,1,1
GR,HIG,is_non_us,184847362.49561033,159372385.20108873,29,1,1
GT,HIG,is_non_us,42363434.16718062,42363434.16718062,4,1,1
HK,HIG,is_non_us,53688481.10070479,40506921.81130512,13,1,1
HU,HIG,is_non_us,5006424.162739362,5006424.162739362,2,1,1
IE,HIG,is_non_us,12496403.25886408,12496403.25886408,3,1,1
IL,HIG,is_non_us,31698132.110016298,31698132.110016298,23,1,1
IN,HIG,is_non_us,152562.65136358727,152562.65136358727,1,1,1
IS,HIG,is_non_us,297906.10568751063,297906.10568751063,1,1,1
IT,HIG,is_non_us,436331749.4502795,313390123.03429747,84,1,1
JE,HIG,is_non_us,11243915.838084206,11243915.838084206,2,1,1
JO,HIG,is_non_us,34089.27515079943,34089.27515079943,1,1,1
JP,HIG,is_non_us,247759313.01614064,144497318.73975256,42,1,1
KE,HIG,is_non_us,271222.49131304625,271222.49131304625,1,1,1
KR,HIG,is_non_us,18862468.298259597,18862468.298259597,22,1,1
LB,HIG,is_non_us,34755090.84232997,34755090.84232997,8,1,1
LK,HIG,is_non_us,112110.77934385299,112110.77934385299,1,1,1
LU,HIG,is_non_us,7386908.295803943,7386908.295803943,2,1,1
MA,HIG,is_non_us,104752861.51009032,104464326.94487987,9,1,1
MC,HIG,is_non_us,92410741.72600748,61851873.04191175,12,1,1
MU,HIG,is_non_us,2789129.0595526425,2789129.0595526425,1,1,1
MX,HIG,is_non_us,354567766.8301943,323321380.5034633,90,1,1
MY,HIG,is_non_us,477218.3697107356,477218.3697107356,1,1,1
NL,HIG,is_non_us,30942588.55304986,23013341.31303199,13,1,1
NO,HIG,is_non_us,1027479.3423833089,1027479.3423833089,2,1,1
NZ,HIG,is_non_us,7689415.529716158,7689415.529716158,5,1,1
OM,HIG,is_non_us,4820255.427439487,4820255.427439487,2,1,1
PA,HIG,is_non_us,11643636.330645764,11643636.330645764,10,1,1
PE,HIG,is_non_us,28614229.719159454,28614229.719159454,11,1,1
PH,HIG,is_non_us,170999.12002286385,170999.12002286385,2,1,1
PL,HIG,is_non_us,1299960.8300215108,1299960.8300215108,1,1,1
PR,HIG,is_non_us,2497497.400682924,2497497.400682924,3,1,1
PT,HIG,is_non_us,94557733.73236924,61267457.29695354,12,1,1
QA,HIG,is_non_us,6466045.215462786,6466045.215462786,3,1,1
RS,HIG,is_non_us,193924.08128882793,193924.08128882793,1,1,1
SA,HIG,is_non_us,33076609.946944207,33076609.946944207,9,1,1
SE,HIG,is_non_us,161014273.91737118,55933150.30032652,9,1,1
SG,HIG,is_non_us,43854299.75360634,43854299.75360634,8,1,1
SK,HIG,is_non_us,2885345.6526121097,2885345.6526121097,1,1,1
SV,HIG,is_non_us,1863690.037455438,1863690.037455438,1,1,1
TH,HIG,is_non_us,16958916.92641279,16577712.358759845,6,1,1
TR,HIG,is_non_us,488872.34690654295,488872.34690654295,2,1,1
TW,HIG,is_non_us,12320054.357616704,12320054.357616704,16,1,1
UY,HIG,is_non_us,24804017.729065187,24804017.729065187,13,1,1
VE,HIG,is_non_us,9335023.879721427,9335023.879721427,6,1,1
VG,HIG,is_non_us,270544.43508476357,270544.43508476357,1,1,1
VN,HIG,is_non_us,50767.91167135487,50767.91167135487,1,1,1
ZA,HIG,is_non_us,810787.5118458456,810787.5118458456,3,1,1
BE,HSA,is_non_us,874759.5,874759.5,4,0,1
DK,HSA,is_non_us,83835.0,83835.0,1,0,1
ES,HSA,is_non_us,23739416.55,23739416.55,10,0,1
FR,HSA,is_non_us,9340465.080014281,9340465.080014281,95,0,1
GR,HSA,is_non_us,24804736.380000003,24804736.380000003,9,0,1
HR,HSA,is_non_us,138855.6,138855.6,1,0,1
IE,HSA,is_non_us,66108224.115,66108224.115,52,0,1
IT,HSA,is_non_us,13343791.5,13343791.5,4,0,1
LI,HSA,is_non_us,3727784.7,3727784.7,2,0,1
PL,HSA,is_non_us,13500.0,13500.0,1,0,1
PT,HSA,is_non_us,12093965.55,12093965.55,3,0,1
RO,HSA,is_non_us,115712.55,115712.55,1,0,1
SE,HSA,is_non_us,368177.13,368177.13,3,0,1
SL,HSA,is_non_us,41040.0,41040.0,1,0,1
AD,HSA,is_non_us,12706950.600000001,12706950.600000001,5,1,1
AE,HSA,is_non_us,12372488.64,10176701.22,9,1,1
AT,HSA,is_non_us,2151184421.128068,2118568537.228068,2497,1,1
AU,HSA,is_non_us,1975431.24,1975431.24,12,1,1
BE,HSA,is_non_us,12703405179.78,12028431981.600006,6013,1,1
BG,HSA,is_non_us,7301907.000000001,7301907.000000001,6,1,1
BH,HSA,is_non_us,250560.00000000003,250560.00000000003,1,1,1
BR,HSA,is_non_us,50112486,25812486,2,1,1
CA,HSA,is_non_us,756000.0,756000.0,2,1,1
CH,HSA,is_non_us,483349.6800000001,483349.6800000001,4,1,1
CL,HSA,is_non_us,204303.6,204303.6,1,1,1
CN,HSA,is_non_us,1250.64,1250.64,1,1,1
CO,HSA,is_non_us,40267.8,40267.8,1,1,1
CR,HSA,is_non_us,79361.64000000001,79361.64000000001,1,1,1
CY,HSA,is_non_us,5304590.100000001,5304590.100000001,5,1,1
CZ,HSA,is_non_us,45454205.160000004,45454205.160000004,42,1,1
DE,HSA,is_non_us,17016495040.013391,16932976420.491184,21741,1,1
DK,HSA,is_non_us,32981391.592501495,32183382.292501494,91,1,1
ES,HSA,is_non_us,12380128063.724566,12125405488.844564,6534,1,1
FI,HSA,is_non_us,14737354.92,14737354.92,64,1,1
FR,HSA,is_non_us,27872584960.479366,27294533246.68248,27517,1,1
GB,HSA,is_non_us,1288819897.488719,1265869897.4887192,526,1,1
GR,HSA,is_non_us,66741733.215,66741733.215,42,1,1
HK,HSA,is_non_us,169577608.32000002,90674804.16,4,1,1
HR,HSA,is_non_us,289612411.9668,289612411.9668,629,1,1
HU,HSA,is_non_us,33457402.08,33457402.08,116,1,1
IE,HSA,is_non_us,7063893426.363998,7063893426.363998,9242,1,1
IL,HSA,is_non_us,5238408.240000001,5238408.240000001,3,1,1
IN,HSA,is_non_us,319140.0,319140.0,2,1,1
IS,HSA,is_non_us,2006487.72,2006487.72,1,1,1
IT,HSA,is_non_us,639165885.6249342,615340986.9250176,745,1,1
JP,HSA,is_non_us,27271459.080000002,27271459.080000002,23,1,1
LI,HSA,is_non_us,81000.0,81000.0,1,1,1
LT,HSA,is_non_us,64800.00000000001,32400.000000000004,1,1,1
LU,HSA,is_non_us,491557482.3600001,491557482.3600001,592,1,1
LV,HSA,is_non_us,5400.0,5400.0,1,1,1
MA,HSA,is_non_us,31281471.781339504,31281471.781339504,4,1,1
MC,HSA,is_non_us,1418462545.4284146,1341156543.2237954,634,1,1
MT,HSA,is_non_us,5839560.1645245,5839560.1645245,13,1,1
MX,HSA,is_non_us,7107407.640000001,7107407.640000001,9,1,1
NL,HSA,is_non_us,14385652561.291014,14050626250.531,8631,1,1
NO,HSA,is_non_us,58376457.00000001,58376457.00000001,161,1,1
NZ,HSA,is_non_us,384131.16,384131.16,1,1,1
PE,HSA,is_non_us,666900.0,666900.0,1,1,1
PL,HSA,is_non_us,7524004.140000001,7524004.140000001,126,1,1
PT,HSA,is_non_us,5624519241.184465,5526402293.644466,3338,1,1
RO,HSA,is_non_us,7989351.840000001,7989351.840000001,12,1,1
RS,HSA,is_non_us,75600.0,75600.0,1,1,1
RU,HSA,is_non_us,3114936.0,3114936.0,1,1,1
SA,HSA,is_non_us,3968591.76,1984295.88,1,1,1
SE,HSA,is_non_us,122212409.03999998,122212409.03999998,336,1,1
SG,HSA,is_non_us,298755.0,298755.0,3,1,1
SI,HSA,is_non_us,3216781.08,3216781.08,12,1,1
SK,HSA,is_non_us,110160.0,110160.0,3,1,1
TN,HSA,is_non_us,220320.0,220320.0,1,1,1
TR,HSA,is_non_us,933228.0000000001,933228.0000000001,4,1,1
US,"33",is_us_all,2939741491.9117985,1771607113.620469,305,0,1
US,"33",is_us_all,392727226.04008025,237721948.7435575,55,1,1
US,"3624",is_us_all,3324645.0,3324645.0,3,1,1
US,HIC,is_us_all,136350.0,136350.0,1,0,1
US,HIC,is_us_all,30570795.900000002,30570795.900000002,31,1,1
US,HIG,is_us_all,8090936.363678377,7479319.331113447,7,0,1
US,HIG,is_us_all,1215838558.8789577,892493048.9270042,221,1,1
US,HSA,is_us_all,137395384.40153575,136305993.80153576,76,1,1
